Date,Close,Open,High,Low,Volume,Change %
02/26/2025,401.96,403,403.97,400.5,417.32K,-0.24%
02/25/2025,402.91,405.1,411.9,400.95,2.37M,-0.54%
02/24/2025,405.09,396,407.9,396,2.65M,2.13%
02/21/2025,396.64,398.89,398.89,396,2.26M,-0.22%
02/20/2025,397.5,398,399,396.55,4.45M,0.19%
02/19/2025,396.76,393,397.99,393,3.87M,1.18%
02/18/2025,392.13,391.05,392.75,389,1.36M,0.41%
02/17/2025,390.52,391,393,388.5,1.05M,-0.03%
02/14/2025,390.64,388.5,392.2,388.01,951.56K,0.67%
02/13/2025,388.04,388.88,392.4,387.75,900.61K,-0.22%
02/12/2025,388.88,391,394,387,1.43M,-0.05%
02/11/2025,389.08,384,390.88,383.75,1.30M,1.47%
02/10/2025,383.44,384,385.99,380.02,927.82K,0.16%
02/07/2025,382.81,377.4,384,376,1.07M,1.70%
02/06/2025,376.42,380.79,380.79,372.61,2.57M,-1.19%
02/04/2025,380.97,387.99,388,380.5,1.35M,-0.87%
02/03/2025,384.33,392,392,383,1.95M,-1.83%
01/31/2025,391.51,392.39,395.96,390.05,1.48M,-0.23%
01/30/2025,392.42,390,395,385.01,2.91M,0.83%
01/29/2025,389.19,400,403,384,9.27M,-2.38%
01/28/2025,398.67,410.5,413.25,390.11,5.99M,-2.68%
01/27/2025,409.66,414.88,418,408.58,3.66M,0.39%
01/24/2025,408.06,395,415.9,395,8.40M,3.63%
01/23/2025,393.75,395.1,397.8,392.8,2.79M,-0.21%
01/22/2025,394.58,397,397.99,392.01,2.91M,-0.16%
01/21/2025,395.21,392,401.89,390.55,5.47M,1.11%
01/20/2025,390.89,390,396.5,388.61,3.86M,1.00%
01/17/2025,387.02,385.2,392.99,383,3.57M,0.49%
01/16/2025,385.13,388.54,393.95,384.25,3.18M,-0.88%
01/15/2025,388.54,384.9,391,384.25,2.80M,1.03%
01/14/2025,384.56,388.4,389.49,383.96,1.63M,-0.38%
01/13/2025,386.03,386,388.5,383,1.98M,0.60%
01/10/2025,383.73,380,386.86,377.02,2.36M,0.51%
01/09/2025,381.79,384.99,387,376.6,1.70M,-0.24%
01/08/2025,382.72,385.01,398.5,379,7.10M,0.42%
01/07/2025,381.13,384.5,384.5,370.2,4.91M,-0.64%
01/06/2025,383.58,390.3,397.5,382.01,5.52M,-1.29%
01/03/2025,388.6,380,391.25,380,5.49M,2.53%
01/02/2025,379,380,387.98,374.97,3.61M,0.27%
01/01/2025,377.99,367.5,392.92,365.5,7.05M,2.85%
