Date,Close,Open,High,Low,Volume,Change %
09/25/2025,330.88,326.4,331.9,325.5,122.79K,1.00%
09/24/2025,327.61,333,333,326.05,134.71K,-0.16%
09/23/2025,328.13,328,335,324.2,407.32K,0.92%
09/22/2025,325.15,335,335.98,324,315.94K,-2.84%
09/19/2025,334.67,338.99,340,330,246.32K,-1.27%
09/18/2025,338.99,339,340,337,159.59K,-1.72%
09/17/2025,344.92,345,347.99,340.72,351.26K,0.20%
09/16/2025,344.23,349,349,340.1,179.54K,-0.33%
09/15/2025,345.36,343.9,349.7,333.11,329.57K,0.81%
09/12/2025,342.59,350.5,351,340.1,235.42K,-2.13%
09/11/2025,350.04,347.9,364,345.6,1.77M,4.82%
09/10/2025,333.93,302.99,333.93,299,1.21M,10.00%
09/09/2025,303.57,311.9,311.9,302,460.26K,-2.67%
09/08/2025,311.91,318,318,310.65,318.44K,-1.55%
09/05/2025,316.83,321,322,316,220.43K,-0.64%
09/04/2025,318.86,324,325,318,240.22K,-1.21%
09/03/2025,322.75,326,327.99,322,246.37K,-1.20%
09/02/2025,326.68,328,328,325.25,106.10K,-0.47%
09/01/2025,328.23,330.25,332,327.79,129.90K,-0.18%
08/29/2025,328.82,325,333,325,168.40K,0.74%
08/28/2025,326.39,326.5,327.97,321.12,70.74K,-0.03%
08/27/2025,326.5,336,337,325,164.41K,-2.94%
08/26/2025,336.39,338,338,336,82.63K,-0.38%
08/25/2025,337.69,342,342,337,86.09K,-0.98%
08/22/2025,341.03,346.56,350,338,140.26K,-1.60%
08/21/2025,346.56,349,350.55,341,194.81K,-0.55%
08/20/2025,348.46,355,355.5,348,227.69K,-1.40%
08/19/2025,353.41,360,360,352.1,325.43K,-0.25%
08/18/2025,354.28,358.01,361.5,353.76,201.45K,-0.91%
08/15/2025,357.55,360,362,357,129.83K,0.05%
08/13/2025,357.38,360,360.99,356,155.31K,0.10%
08/12/2025,357.01,361,361,356.1,136.18K,-0.48%
08/11/2025,358.72,358,362.85,356,59.51K,0.75%
08/08/2025,356.04,361.25,365.98,355.5,119.54K,-1.43%
08/07/2025,361.22,361.7,366.99,361,77.94K,-0.12%
08/06/2025,361.66,370,374.99,360,185.43K,-2.24%
08/05/2025,369.93,375.36,377.88,369.5,102.77K,-1.49%
08/04/2025,375.52,372.25,376.9,370.1,74.96K,1.02%
08/01/2025,371.71,384.95,384.95,368.1,97.59K,-2.67%
07/31/2025,381.9,395.5,396,380,78.89K,-1.17%
07/30/2025,386.41,380.65,391.9,377,166.13K,1.73%
07/29/2025,379.85,377,383.99,375,217.28K,1.14%
07/28/2025,375.58,370,378,365,138.11K,2.95%
07/25/2025,364.83,366,366,360,45.59K,1.22%
07/24/2025,360.42,362.13,364.9,360,52.79K,-0.46%
07/23/2025,362.07,370,371.89,361,89.42K,-1.57%
07/22/2025,367.84,371,372.75,367,124.14K,-0.31%
07/21/2025,368.98,370,376,365,240.66K,2.50%
07/18/2025,359.97,358,368,356.4,136.69K,0.58%
07/17/2025,357.89,356,359.4,354,56.89K,0.55%
07/16/2025,355.93,352,359.8,352,81.62K,0.06%
07/15/2025,355.72,355,357.6,353,89.29K,0.06%
07/14/2025,355.52,354,357.8,352,47.53K,0.69%
07/11/2025,353.07,353.2,360.8,352,71.91K,-1.01%
07/10/2025,356.66,357.8,362,353.03,98.58K,-0.32%
07/09/2025,357.81,359.8,359.98,352.02,33.45K,-0.02%
